"name","segment","category","hq","markets","what","features","needs","mechanism","differentiation","users","revenue","funding","retention","business_model","verdict","status","ditto_flag","source_tier","source_url","notes","regions"
"Ping An Health","AI answers & assistants","Health super-app","China","China","Online health super-app: AI triage, telemedicine, pharmacy, corporate and family channels.","AI triage; telemedicine; pharmacy; senior care","2;4;5;6;12","B2B2C super-app funnel","Insurer/employer-paid funnel (dominant Asian monetization)","300M+ registered (stale); ~5.81M B-end paying users","RMB 4.81bn FY24; first full-year adjusted profit","Listed (1833.HK)","","B2B2C insurer/employer","Growing","Active","Watch","T1","https://www.prnewswire.com/news-releases/ping-an-health-reports-25-8-year-on-year-revenue-growth-in-q1-2025--with-profitability-accelerating-302437080.html","Registered counts are vanity; not cancer-specific","Asia"
"JD Health","PHR & access","Pharmacy + telemedicine","China","China","Online pharmacy + telemedicine + chronic-disease management; largest by revenue.","E-pharmacy; telemedicine; chronic management","5;6;12","Pharmacy fulfilment + adherence","Scale via e-commerce logistics","183M+ annual active users","RMB 58.16bn (~$8.1bn) FY24; net profit RMB 4.16bn (+94%)","Listed (6618.HK)","","E-pharmacy + telemed","Proven","Active","Watch","T1","https://ir.jd.com/news-releases/news-release-details/jdcom-announces-fourth-quarter-and-full-year-2024-results-and","Distribution model; hard to replicate in EU","Asia"
"Alibaba Health (Ali Health)","PHR & access","Pharmacy","China","China","Online pharmacy, Tmall health, digital medical services.","E-pharmacy; Tmall health; digital services","5;6;12","Pharmacy platform","","120M+ annual active consumers (2022, stale)","~$4.3bn FY24","Listed (0241.HK)","","E-pharmacy","Growing","Active","Watch","T2","https://tracxn.com/d/companies/alibaba-health/__BoBV3Bxh5XUBkSwkn2SyZlsR10ncES64YQOP4qM2pWA","","Asia"
"WeDoctor","AI answers & assistants","Online healthcare platform","China","China","Tencent-backed online healthcare + AI: hospital connectivity, consultations, chronic management.","Consultations; hospital connectivity; chronic management","2;4;6;12","Online care platform","","222M registered (2021, stale)","","Revived HK IPO filing (2025)","","B2B2C","Mixed","Active","Watch","T2","https://www.scmp.com/business/banking-finance/article/3292854/tencent-backed-online-healthcare-platform-wedoctor-revives-plan-hong-kong-ipo","Troubled IPO saga; stale metrics","Asia"
"Welby (MyKarte ONC)","PHR & access","PHR + pharma cancer modules","Japan","Japan","Neutral PHR running pharma-funded, cancer-specific treatment-support modules (side-effect/irAE self-monitoring).","PHR; cancer treatment-support modules; irAE self-check; adherence","4;5;6","Pharma-funded per-drug/cancer modules","Cleanest B2B2C revenue path for a patient-facing oncology tool (Chugai, AstraZeneca)","Undisclosed","","","","Pharma-funded modules (B2B2C)","Niche (model exemplary)","Active","Adopt (funding model)","T1","https://www.chugai-pharm.co.jp/english/news/detail/20201019153000_774.html","No public engagement data; neutrality/consent to manage","Asia"
"LINE Healthcare / LINE Doctor","Care navigation & 2nd opinion","Messenger telehealth","Japan","Japan","Chat-based health consultation + telemedicine (search to book to video to pay) inside the LINE app.","Chat consults; telemedicine; in-app payment","2;4;12","Healthcare inside a messaging super-app","Built on 83M+ LINE users (M3 JV)","83M+ LINE Japan base","","JV of LINE + M3","","Telemedicine JV","Growing","Active","Adopt (distribution)","T2","https://www.linecorp.com/en/pr/news/en/2020/3551","","Asia"
"M3 (m3.com)","Clinical / provider","Physician community / pharma marketing","Japan","Japan / Global","Pharma-marketing and physician-community platform; members-only physician portal.","Physician portal; pharma marketing","","Pharma-funded physician engagement","","330,000+ JP physicians; 5.8M+ globally","","Listed (Japan)","","B2B pharma","Proven","Active","Watch","T1","https://corporate.m3.com/en/ir/","Not patient-facing","Asia;Global"
"Kakao Healthcare (PASTA)","Consumer health","AI chronic + family sharing","South Korea","Korea (JP/US planned)","AI blood-glucose management using CGM + smartphone, with AI food recognition and family/friends data-sharing.","CGM AI; food recognition; real-time guidance; family sharing","4;5;8;11","Daily-data + AI interpretation + family-sharing loop","Backed by Korea's dominant messenger; meal-forecast on a 170k cohort","Launched 2024; no public MAU","","Kakao-backed","","B2B2C / device partners","Growing (early)","Active","Adopt (daily loop)","T2","https://www.koreabiomed.com/news/articleView.html?idxno=23269","Diabetes; the mechanic transfers","Asia;US"
"Naluri","Consumer health","Human + AI coaching","Malaysia","SE Asia","Human-led + AI-augmented digital health coaching for chronic disease (incl. cancer) and mental health, sold B2B2C.","Human + AI coaching; chronic + mental; lessons","9;11","Bundled coaching, insurer/employer-funded","Published outcome evidence; B2B2C","","","$5M Series A (2021); Series B (2025)","","B2B2C insurer/employer","Growing","Active","Adopt (coaching model)","T2","https://e27.co/naluri-bags-us5m-series-a-to-support-people-with-chronic-health-mental-conditions-in-sea-20210609/","Coaching-ops heavy","Asia"
"Tata 1mg","PHR & access","E-pharmacy + 2nd opinion","India","India","E-pharmacy + diagnostics + teleconsultation + a cancer second-opinion service.","E-pharmacy; diagnostics; teleconsult; cancer 2nd opinion","3;5;6;12","Pharmacy + bolt-on second opinion","Tata-owned","","~INR 2,392 crore FY25; ~$1.25B valuation (2022)","Tata-owned","","E-pharmacy","Growing","Active","Watch","T2","https://entrackr.com/fintrackr/tata-1mg-revenue-nears-rs-2400-cr-in-fy25-trims-losses-9534620","Cancer is a side feature","Asia"
"Practo","Care navigation & 2nd opinion","Doctor discovery + telemed","India","India","Doctor-discovery + teleconsultation + practice-management SaaS.","Doctor discovery; teleconsult; practice SaaS","3;4;12","Discovery + consultation","Profitable dual B2C+B2B","10M+ MAU","","","","B2C + B2B SaaS","Growing","Active","Watch","T3","https://www.plumhq.com/blog/the-best-telemedicine-apps-in-india","Not cancer-specific","Asia"
"PharmEasy","PHR & access","E-pharmacy","India","India","E-pharmacy + diagnostics + teleconsults.","E-pharmacy; diagnostics; teleconsult","5;12","Pharmacy platform","","","INR 5,664 crore FY24 (-14.8% YoY)","","","E-pharmacy","Struggling","Active","Avoid (burn)","T2","https://entrackr.com/fintrackr/pharmeasy-cuts-losses-by-51-to-rs-2533-cr-in-fy24-revenue-dips-15-7596961","Revenue declining","Asia"
"Halodoc","AI answers & assistants","Health super-app","Indonesia","Indonesia","Health super-app: teleconsultation, pharmacy delivery, lab, insurance.","Teleconsult; pharmacy; lab; insurance","2;4;5;12","Super-app + insurer backing","Conglomerate/insurer backing (B2B2C)","20M+ MAU","","~$285M total","","B2B2C","Growing","Active","Watch","T2","https://www.mobihealthnews.com/news/asia/halodoc-scores-100m-astra-led-series-d-funding","","Asia"
"Alodokter","AI answers & assistants","Content + telemedicine","Indonesia","Indonesia","Health-content + teleconsultation super-app, strong on free content as top-of-funnel.","Free content; teleconsult","1;2;4","Free content funnel to consults","Content-as-acquisition at scale","28M+ MAU; 40,000+ doctors","","Series-C extension (2024)","","B2B2C","Growing","Active","Adopt (content funnel)","T2","https://www.prnewswire.com/in/news-releases/alodokter-raises-series-c-extension-funding-from-mdi-ventures-883008200.html","","Asia"
"Doctor Anywhere","Care navigation & 2nd opinion","Telehealth","Singapore","SE Asia","Regional telehealth + in-person clinic + marketplace.","Telehealth; clinics; marketplace","2;4;12","Regional telehealth","","","","~$140-176M total","","B2B2C","Growing","Active","Watch","T2","https://vulcanpost.com/847063/telehealth-doctor-anywhere-us-40-8-million-funding/","","Asia"
"Medisafe","Consumer health","Medication adherence","United States / Israel","Global","Reminders + adherence score + 'Medfriend' caregiver loop + refill nudges.","Reminders; adherence score; Medfriend caregiver loop; refills","5;7","Reminder loop + caregiver social pressure","Caregiver loop + AI adherence prediction","~10M+ registered; 650M+ doses","","","","Freemium / B2B pharma","Proven","Active","Adopt","T3","https://www.medisafe.com/","","Global;US"
"MyTherapy","Consumer health","Medication adherence","Germany","EU / Global","Reminders + health diary + reports; EU-built pill+symptom combo.","Reminders; health diary; reports","5;4","Reminder + diary","EU-built pill+symptom combo","10M+ downloads","","","","Free / partnerships","Growing","Active","Adopt","T3","","","EU;Global"
"Round Health","Consumer health","Medication adherence","United States","US","Elegant time-window medication reminders.","Time-window reminders","5","Reminder UX","Best-in-class reminder UX","","","","","","Niche","Active","Adopt","T3","","","US"
"Hero","Consumer health","Medication adherence (hardware)","United States","US","Hardware pill dispenser + reminders + refill.","Dispenser; reminders; refill","5","Physical dispensing automation","","","","$120M+ raised (unconfirmed)","","Hardware + subscription","Niche","Active","Watch","T2","","","US"
"CareZone","Consumer health","Medication + family health","United States","US","Medication-list scan + shared family records.","Med-list scan; shared family records","5;8","Caregiver med organization","","","","Acquired by Walmart (2020)","","Consumer","Mixed","Acquired","Watch","T2","","","US"
"Bearable","Consumer health","Symptom / chronic tracking","United Kingdom","Global","Manual multi-factor symptom logging with correlation insights.","Symptom logging; correlations","4","Manual tracking","Correlation insights for chronic conditions","~900k users","","","","Freemium","Mixed","Active","Avoid (churn)","corpus","","Manual logging churns","EU;Global"
"BetterHelp","Consumer health","Teletherapy (human)","United States","Global","Marketplace matching to licensed therapists.","Therapist matching; messaging/video","9","Access + convenience at scale","","~2.5M users (Teladoc-owned)","","","","Subscription","Growing","Active","Watch","T2","","","Global;US"
"Talkspace","Consumer health","Teletherapy (human)","United States","US","Async therapy + insurance/payer channel.","Async therapy; payer coverage","9","Payor-covered teletherapy","","","~$59.4M Q3'25 revenue (record)","","","Subscription / payer","Growing","Active","Watch","T1","https://www.sec.gov/Archives/edgar/data/0001803901/000095017025102417/talk-ex99_2.htm","","US"
"Lyra Health","Consumer health","Mental health (B2B2C)","United States","US","Employer EAP + matched care + outcomes.","EAP; matched care; measurement-based","9","Employer-funded mental health","","","","$5.6B+ valuation (2022)","","B2B2C employer","Growing","Active","Watch","corpus","","","US"
"Quartet Health","Consumer health","Behavioral health navigation","United States","US","Payer-led matching to behavioral care.","Behavioral routing","9","Routing under insurance","","","","","","B2B payer","Niche","Active","Watch","corpus","","","US"
"Woebot","Consumer health","AI CBT chatbot","United States","US","Rules-based CBT conversation; pioneer of conversational CBT.","CBT chatbot","9","Conversational CBT","","","","Wound down consumer app 2025","","DTx / B2B","Dead (consumer)","Defunct","Avoid (model)","corpus","","No FDA pathway for LLM therapy","US"
"Wysa","Consumer health","AI mental-health companion","India / UK","Global","AI chat + CBT tools + human escalation; NHS/employer deals.","AI chat; CBT; human escalation","9","Hybrid AI + human","NHS/employer deals; FDA breakthrough","~6.5M+ users","","","","B2B2C","Growing","Active","Innovate","corpus","","","Asia;EU;Global"
"Youper","Consumer health","AI emotional-health assistant","United States","Global","AI mood chat + CBT, with RCT evidence.","Mood chat; CBT; RCT-backed","9","Evidence-backed AI companion","","","","","","Subscription","Niche","Active","Innovate","corpus","","","Global;US"
"Clare&Me","Consumer health","AI voice mental health","Germany","EU","Voice + text AI mental-health companion.","Voice + text AI companion","9","Conversational companion","EU-built voice therapy","","","","","Subscription","Niche","Active","Innovate","corpus","","","EU"
"Earkick","Consumer health","AI mental-health tracker","United States","Global","Passive + chat mood tracking, no signup.","Passive mood; chat; no signup","9","Frictionless tracking","Privacy-first, frictionless","","","","","Freemium","Niche","Active","Innovate","corpus","","","Global;US"
"Limbic","Consumer health","AI mental-health triage (UK)","United Kingdom","UK","Clinical AI assistant for NHS Talking Therapies.","Clinical AI triage; NHS-embedded","9;2","Regulated clinical AI","UKCA Class IIa; NHS deployments","","","","","B2B (NHS)","Growing","Active","Innovate","corpus","","","EU"
"Therabot","Consumer health","AI therapy (research)","United States","US","Generative therapy chatbot, RCT-tested.","Generative therapy; RCT","9","Generative therapy","First RCT showing symptom reduction (Dartmouth 2025)","","","","","Research","Niche (research)","Active","Watch","corpus","","","US"
"Character.AI","Adjacent inspiration","AI companions (general)","United States","Global","Open-ended persona chat with heavy DAU.","Persona chat","9","Parasocial engagement","Cautionary: safety scrutiny","20M+ MAU","","","","Subscription","Mixed","Active","Avoid (safety)","corpus","","Safety harms scrutiny","Global;US"
"Ash / Slingshot AI","Consumer health","AI therapy app","United States","US","Purpose-built therapy LLM.","Dedicated therapy model","9","VC-backed therapy LLM","","","","$93M raise (Slingshot)","","Subscription","Niche","Active","Watch","corpus","","","US"
"Stoic","Consumer health","Mood / journaling","United States","Global","Guided journaling + mood + stoicism ritual.","Journaling; mood; ritual","9","Reflective daily writing","","","","","","Subscription","Niche","Active","Adopt","corpus","","","Global;US"
"MindDoc (MoodPath)","Consumer health","Mood tracking (clinical, DE)","Germany","EU","Daily mood check-ins + screening.","Mood check-ins; screening","9","Clinical mood logger","EU clinical mood logger","~3M users","","","","Freemium","Niche","Active","Adopt","corpus","","","EU"
"Sanvello","Consumer health","Self-help mental health","United States","US","CBT/mindfulness + mood + community.","CBT; mood; community","9","Self-guided + insurance","UnitedHealth-owned","","","","","Freemium / insurance","Mixed","Active","Watch","T3","","","US"
"Daylio","Consumer health","Mood micro-journaling","Slovakia","Global","One-tap mood + activity logging.","One-tap mood log","9","Near-zero-friction daily log","","","","","","Freemium","Growing","Active","Adopt","corpus","","","EU;Global"
"How We Feel","Consumer health","Emotion tracking","United States","Global","Emotion-wheel check-ins; non-profit.","Emotion-wheel check-ins","9","Emotional-granularity habit","","","","","","Non-profit","Niche","Active","Adopt","corpus","","","Global;US"
"Finch","Consumer health","Self-care gamified pet","United States","Global","A care-pet you nurture through self-care acts.","Care-pet; self-care streaks","9","Emotional-reward loop (Duolingo-class)","Reward = companion warmth, not points","~10M MAU; $30M ARR; 54%/37% D1/D7","","","","Freemium","Growing","Active","Innovate","corpus","","","Global;US"
"Flo","Consumer health","Cycle / women's health","Global","Global","Daily cycle prediction + AI assistant with per-cycle compounding data.","Daily prediction; AI assistant; partner sharing","2;4","Anticipatory daily changing answer + data moat","Strongest retention in consumer health","~77M MAU; ~5M paid; ~$275M revenue; ~$1B valuation","","","","Freemium","Proven","Active","Innovate","corpus","","The gold-standard mechanic to emulate","Global"
"Clue","Consumer health","Cycle / women's health","Germany","EU / Global","Science/privacy-led cycle tracking with a research dataset.","Tracking; research dataset","4","Trust + data moat","EU-rooted, privacy-led","~10M+ MAU; 1M paid","","","","Freemium","Proven","Active","Innovate","corpus","","","EU;Global"
"Natural Cycles","Consumer health","Cycle / contraception","Sweden","Global","Daily temperature entry gates an FDA-cleared contraceptive claim.","Daily temp; contraceptive claim","4","Usage IS the regulated product","First FDA-cleared contraceptive app",">3M users","","","","Subscription","Proven","Active","Innovate","corpus","","","EU;Global"
"Ovia Health","Consumer health","Pregnancy / parenting","United States","US","Full fertility-to-parenting continuum; B2B2C employer.","Fertility-to-parenting; employer channel","","Distribution moat via employers","","22M+ journeys; 305+ clients","","","","B2B2C employer","Growing","Active","Watch","corpus","","","US"
"Maven Clinic","Consumer health","Women's / family virtual care","United States","US","Care navigation + virtual specialists; B2B2C employer-funded.","Navigation; virtual specialists","3;6","Employer-funded full lifecycle","Femtech unicorn","","","$1.7B+ valuation (2024)","","B2B2C","Growing","Active","Watch","T2","https://www.mavenclinic.com/","","US"
"Midi Health","Consumer health","Menopause / midlife women","United States","US","Virtual clinicians + insurance-covered menopause care.","Virtual clinicians; insurance","","Underserved cohort + insurance","","","","$100M+ raised","","Insurance / B2B2C","Growing","Active","Watch","T2","","","US"
"Tia","Consumer health","Women's whole-health clinics","United States","US","Hybrid in-person + virtual women's membership.","Hybrid clinics; membership","","Bundled women's primary care","","","","~$130M raised","","Membership","Niche","Active","Watch","T2","","","US"
"Stardust","Consumer health","Cycle (privacy-first)","United States","US","Astrology-flavoured, privacy-positioned cycle tracking.","Cycle tracking; privacy stance","4","Privacy positioning","Post-Dobbs privacy stance","","","","","Freemium","Niche","Active","Watch","T3","","","US"
"Calm","Consumer health","Meditation / sleep","United States","Global","Sleep Stories + streaks + content library.","Sleep stories; streaks; content","9","Bedtime ritual + content moat","Peaked ~2021, declining","~3.5M subs; ~$210M revenue","","","","Subscription","Mixed","Active","Adopt (ritual)","corpus","","Content-only model decays","Global;US"
"Headspace","Consumer health","Meditation","United States","Global","Structured courses + B2B; Ebb AI.","Courses; B2B; Ebb AI","9","Employer channel + brand","","~2M subs; ~$140M revenue","","","","Subscription / B2B","Mixed","Active","Adopt (ritual)","corpus","","","Global;US"
"Ebb (Headspace AI)","Consumer health","Meditation / AI companion","United States","Global","AI conversational daily trigger + voice.","AI companion; voice; daily trigger","9","Manufactures a recurring reason to open","","7M+ messages; 2,000+ employers","","","","B2B2C","Growing","Active","Innovate","corpus","","","Global;US"
"Insight Timer","Consumer health","Meditation","United States / Australia","Global","Largest free meditation library + timer + teachers.","Free library; timer; community","9","Free-content + community breadth","","~27M+ users; 120K+ meditations","","","","Freemium","Growing","Active","Adopt (ritual)","T3","https://www.choosingtherapy.com/insight-timer-review/","","Global;US"
"Balance","Consumer health","Meditation (personalized)","United States","Global","Adaptive daily plan; free-year-1 growth hack.","Adaptive plan; personalization","9","Personalization + free tier","Apple App of the Year 2021","","","","","Freemium","Niche","Active","Watch","T3","","","Global;US"
"BetterSleep","Consumer health","Sleep","United States","Global","Soundscapes + sleep tracking + bedtime routine.","Soundscapes; sleep tracking","9","Audio-first sleep ritual","","60M+ downloads (vendor)","","","","Subscription","Niche","Active","Adopt (ritual)","T3","","","Global;US"
"Sleep Cycle","Consumer health","Sleep","Sweden","Global","Smart alarm + sleep-stage tracking.","Smart alarm; sleep tracking","9","Passive nightly capture + morning read","","","","","","Subscription","Niche","Active","Adopt","T3","","","EU;Global"
"Omada Health","Consumer health","Chronic prevention coach","United States","US","Connected devices + coach + program; B2B2C.","Devices; coach; program","11","Reimbursed outcomes at scale","","","IPO 2025; ~$170M+ revenue","","","B2B2C","Growing","Active","Watch","T2","","","US"
"Virta Health","Consumer health","Diabetes reversal","United States","US","Ketogenic program + remote MD + CGM.","Program; remote MD; CGM","11","Outcomes-based reversal","","","","","","B2B2C","Growing","Active","Innovate","corpus","","","US"
"Lark","Consumer health","AI chronic coach","United States","US","Fully-AI conversational chronic coach; B2B2C.","AI coach; chronic","11","AI-only coaching at low marginal cost","","35M+ interactions","","","","B2B2C","Growing","Active","Innovate","corpus","","","US"
"Dario","Consumer health","Chronic (multi-condition)","United States / Israel","US","Connected devices + app + coaching across conditions.","Devices; app; coaching","11","Multi-condition data platform","","","","","","B2B2C","Mixed","Active","Watch","corpus","","","US"
"Hello Heart","Consumer health","Heart / BP coach","United States","US","Connected BP cuff + AI nudges.","BP cuff; AI nudges","11","Passive BP capture + nudge loop","","","","","","B2B2C","Growing","Active","Innovate","corpus","","","US"
"Sword Health","Consumer health","MSK digital therapy","Portugal / US","US / EU","Sensor-guided physical therapy + AI/clinician; B2B2C.","Sensor PT; AI/clinician","11","Computer-vision PT at home","","","~$4B valuation; $130M+ ARR","","","B2B2C","Growing","Active","Watch","corpus","","","EU;US"
"Hinge Health","Consumer health","MSK digital therapy","United States","US","Wearable-sensor PT + coaching; B2B2C; largest MSK.","Sensor PT; coaching","11","Reimbursed MSK at scale","IPO 2025","","","","","B2B2C","Growing","Active","Watch","corpus","","","US"
"Kaia Health","Consumer health","MSK + COPD (DE)","Germany","EU / US","Motion-tracking PT via phone camera.","CV physiotherapy","11","EU-built CV physiotherapy","EU-built","","","","","B2B2C","Growing","Active","Watch","corpus","","","EU;US"
"Vida Health","Consumer health","Chronic + mental (US)","United States","US","Combined physical + mental coaching; B2B2C.","Physical + mental coaching","9;11","Whole-person employer coaching","","","","$100M+ raised","","B2B2C","Niche","Active","Watch","T2","","","US"
"Sweetch","Consumer health","AI behavior-change","Israel","US / Global","Hyper-personalized just-in-time AI nudges.","JITAI nudges","11","Just-in-time adaptive prompts","","","","","","B2B2C","Niche","Active","Innovate","T3","","","Global;US"
"Oviva","Consumer health","Diet / diabetes coach (EU)","Switzerland","EU (DE/UK)","Dietitian + app; reimbursed in DE/UK.","Dietitian; app; reimbursed","11","EU-reimbursed nutrition therapy","EU reimbursement model","800K+ patients EU","","","","Reimbursed (B2B2C)","Growing","Active","Innovate","T3","","EU-reimbursed model to study","EU"
"Oura","Consumer health","Wearable (ring)","Finland","Global","Passive capture to a daily Readiness score.","Passive capture; daily score","4","Morning anticipatory score + data-moat renewal","Most powerful retention mechanic in consumer health",">80% yr-1 renewal; ~$1B revenue; ~$11B valuation","","","","Hardware + subscription","Proven","Active","Innovate","corpus","","","EU;Global"
"Whoop","Consumer health","Wearable (band)","United States","Global","Passive capture to Strain/Recovery scores.","Passive capture; Strain/Recovery","4","Subscription data-moat + daily read","",">50% daily use @18mo; $10.1B valuation; $575M Series G","","","","Subscription","Proven","Active","Innovate","corpus","","","Global;US"
"Fitbit","Consumer health","Wearable","United States","Global","Step/HR tracking + badges.","Step/HR; badges","4","Hardware ubiquity without insight loop","Cautionary: erodes without insight","MAU sliding ~48M to ~42M","","","","Hardware (Google)","Mixed","Active","Avoid (model)","corpus","","","Global;US"
"Garmin","Consumer health","Wearable / sport","United States / Switzerland","Global","Multi-sport tracking + Body Battery.","Multi-sport; Body Battery","4","Athlete loyalty + on-device value","","","","","","Hardware","Proven","Active","Adopt","T2","","","EU;Global;US"
"Apple Watch / Fitness+","Consumer health","Wearable + fitness content","United States","Global","Rings/streaks + workouts + health data.","Rings; streaks; workouts","4","Ecosystem lock-in + daily rings","","Hundreds of millions of devices","","","","Hardware + subscription","Proven","Active","Adopt (rings)","corpus","","","Global;US"
"Samsung Health","Consumer health","Wearable / phone hub","South Korea","Global","Aggregation + tracking on Galaxy.","Aggregation; tracking","6","Default Android health aggregator","","","","","","Platform","Growing","Active","Watch","corpus","","","Asia;Global"
"Strava","Adjacent inspiration","Fitness social","United States","Global","Social graph: segments, kudos, clubs.","Segments; kudos; clubs","10","Identity + peer accountability moat","Social graph as the moat","180M registered; ~$500M ARR","","","","Freemium","Proven","Active","Innovate (social)","corpus","","","Global;US"
"Zwift","Consumer health","Fitness (virtual cycling)","United States","Global","Gamified group rides; multiplayer.","Multiplayer rides","","Social game layer on exercise","","","","","","Subscription","Niche","Active","Watch","corpus","","","Global;US"
"Peloton","Consumer health","Connected fitness","United States","Global","Live/on-demand classes + leaderboard.","Classes; leaderboard","","Instructor charisma + social ranks","","","~$2.7B revenue (declining)","","","Hardware + subscription","Mixed","Active","Watch","T2","","","Global;US"
"Ultrahuman","Consumer health","Wearable (ring/CGM)","India / UAE","Global","Ring + metabolic CGM + scores.","Ring; CGM; scores","4","Metabolic-focused wearable","","","","$100M+ raised","","Hardware + subscription","Growing","Active","Watch","T2","","","Asia;Global"
"MyFitnessPal","Consumer health","Nutrition logging","United States","Global","Calorie log + huge food database.","Calorie log; food database","11","Food-database moat","","~220M registered; 30M+ MAU","","","","Freemium","Mixed","Active","Adopt (database)","corpus","","","Global;US"
"Noom","Consumer health","Weight / behavior change","United States","Global","Psychology lessons + coach + logging.","Lessons; coach; logging","11","CBT-flavored behavior program","","","","","","Subscription","Mixed","Active","Watch","corpus","","","Global;US"
"Yuka","Consumer health","Food / cosmetics scanner","France","Global","Scan to instant grade, shareable.","Scan; instant grade; share","11","Near-zero-friction instant verdict","Instant verdict UX","~70-80M users","","","","Freemium","Proven","Active","Adopt (verdict)","T2","https://www.npr.org/2025/05/26/nx-s1-5391915/phone-apps-food-nutrition-health","","EU;Global"
"ZOE","Consumer health","Nutrition science (UK)","United Kingdom","UK / US","Microbiome + CGM test to personalized scores.","Microbiome; CGM; scores","11","Test-driven personalized nutrition","","","","$100M+ raised","","Subscription","Growing","Active","Innovate","T2","","","EU;US"
"Lose It!","Consumer health","Calorie counter","United States","Global","Logging + Snap-It photo recognition.","Logging; photo recognition","11","Photo-based food logging","","50M+ users (vendor)","","","","Freemium","Niche","Active","Adopt","T3","","","Global;US"
"Cronometer","Consumer health","Micronutrient tracking","Canada","Global","Detailed nutrient logging.","Micronutrient logging","11","Precision micronutrient data","","","","","","Freemium","Niche","Active","Watch","T3","","","Global"
"Lifesum","Consumer health","Nutrition (EU)","Sweden","EU / Global","Logging + diet plans + scores.","Logging; diet plans","11","EU-built nutrition tracker","","60M+ users (vendor)","","","","Freemium","Growing","Active","Adopt","T3","","","EU;Global"
"Foodvisor","Consumer health","Nutrition (FR)","France","Global","AI photo food recognition.","Photo food recognition","11","Image-recognition logging","","10M+ downloads","","","","Freemium","Niche","Active","Adopt","T3","","","EU;Global"
"Fooducate","Consumer health","Food grading","United States","Global","Barcode to nutrition grade + community.","Barcode grade; community","11","Instant grade pioneer","","","","","","Freemium","Niche","Active","Adopt (verdict)","T3","","","Global;US"
"Yazio","Consumer health","Nutrition / fasting (DE)","Germany","Global","Logging + fasting plans.","Logging; fasting","11","Diet + fasting combo","EU-built","50M+ users (vendor)","","","","Freemium","Growing","Active","Watch","T3","","","EU;Global"
"Hyro","Clinical / provider","Conversational AI (health)","United States","US","Voice/chat agents for health systems.","Voice/chat agents","","Automates provider front-desk","","","","","","B2B","Niche","Active","Watch","T2","","","US"
"Amazon Alexa (Health)","Consumer health","Voice assistant","United States","Global","Voice health skills + Amazon Health.","Voice health skills","2","Ambient voice at home scale","","","","","","Platform","Niche","Active","Watch","T2","","","Global;US"
"Google / Gemini Live","Consumer health","Voice assistant","United States","Global","Real-time multimodal voice AI.","Voice AI; multimodal","2","Conversational voice answers","","","","","","Platform","Growing","Active","Watch","T2","","","Global;US"
"Function Health","Consumer health","Longevity testing","United States","US","160+ lab panel + AI dashboard; membership.","Lab panels; AI dashboard","6","Data-about-future-self + renewal","AI-interpreted personal-results dashboard","200K+ members","~$2.5B valuation; $298M Series B","","","Membership","Growing","Active","Innovate (interpretation)","T2","https://medcitynews.com/2025/11/function-health-startup-testing-imaging/","","US"
"Superpower","Consumer health","Longevity testing","United States","US","Annual physical to continuous monitoring.","Testing; monitoring","6","Affluent proactive cohort","","","","$30M Series A; >$300M valuation","","Membership","Growing","Active","Watch","T2","https://www.fiercehealthcare.com/health-tech/new-startup-superpower-scores-30m-launch-personalized-health-testing","","US"
"Neko Health","Consumer health","Body-scan diagnostics (SE)","Sweden","EU","Full-body scan + AI report; membership.","Body scan; AI report","6","High-touch EU preventive scan","EU preventive scan","","","$260M raise; ~$1.8B valuation","","Membership","Growing","Active","Watch","T2","","","EU"
"InsideTracker","Consumer health","Biomarker optimization","United States","US","Blood tests to personalized action plan.","Blood tests; action plan","11","Biomarker-driven recommendations","","","","","","Subscription","Niche","Active","Innovate (interpretation)","T3","","","US"
"Levels","Consumer health","Metabolic (CGM)","United States","US","Real-time glucose + food feedback.","CGM; food feedback","11","Closed-loop metabolic feedback","","","","$300M+ valuation (2021)","","Subscription","Niche","Active","Watch","T2","","","US"
"Zero","Consumer health","Fasting / metabolic","United States","Global","Fasting timer + metabolic tracking.","Fasting timer; tracking","11","Popular fasting tracker","","","","","","Freemium","Niche","Active","Watch","T3","","","Global;US"
"Hone Health","Consumer health","Hormone / longevity (men)","United States","US","At-home hormone testing + telehealth Rx.","Hormone testing; Rx","11","Men's hormone optimization","","","","","","Subscription","Niche","Active","Watch","T3","","","US"
"Forward Health","Consumer health","Preventive primary care (defunct)","United States","US","CarePod kiosks + membership.","CarePod kiosks; membership","6","Capital-intensive physical footprint","Cautionary tale","","","Shut down 2024","","Membership","Dead","Defunct","Avoid (model)","T2","","Capital-intensive footprint failed","US"
"Healthline","Consumer health","Health content","United States","Global","SEO clinician-reviewed content library.","Clinician-reviewed content","1;2","Massive search traffic","","~80M+ monthly visits","","","","Ads / affiliate","Proven","Active","Adopt (grounding)","T2","","","Global;US"
"WebMD","Consumer health","Health content + checker","United States","Global","Content + symptom checker + ads.","Content; symptom checker","1;2","Legacy 'Dr. Google' brand","","","","","","Ads","Proven","Active","Adopt (grounding)","T2","","","Global;US"
"Mayo Clinic","Consumer health","Health content","United States","Global","Clinician-authored, high-trust content.","Clinician-authored content","1;2","Top trust brand","","","","","","Institutional","Proven","Active","Adopt (grounding)","T2","","","Global;US"
"Cleveland Clinic","Consumer health","Health content","United States","Global","Clinician content + health essentials.","Clinician content","1;2","High-trust health-system brand","","","","","","Institutional","Proven","Active","Adopt (grounding)","T2","","","Global;US"
